stud_id,g1a,g2a,g3a,g4a,g5a,g_total,s1,s2,s3,s4,chinese,english,matha,mathb,mathc,track,indrg,indrs,ind42
02719, , , , , , , , , , ,46,26, ,72, ,3.考試分發,0,0,1
02724,9,7,4,8,7,35,29.7299995422363,12.3299999237061,0,27, , , , , ,3.考試分發,1,1,0
02725,15,14,12,12,13,66,62.1699981689453,40,26.2999992370605,0, , , , , ,3.考試分發,1,1,0
02729,12,11,4,14,12,53,51.7299995422363,67.1100006103516,38.7999992370605,35.9000015258789, , , , , ,3.考試分發,1,1,0
02734, , , , , , , , , , , , , , , ,2.個人申請,0,0,0
02735,12,6,6,9,6,39,55.5999984741211,7.17000007629395,0,22.2000007629395, , , , , ,3.考試分發,1,1,0
02740, , , , , , , , , , , , , , , ,-,0,0,0
02742, , , , , , , , , , ,62,64, ,40, ,1.學校推薦,0,0,1
02746,8,6,4,5,5,28, , , , ,62,40, ,60, ,3.考試分發,1,0,1
02747,13,12,4,9,9,47,69.1999969482422,51.939998626709,0,43.2000007629395, , , , , ,3.考試分發,1,1,0
